Producto,Unidad,Categoría
Menta rollito,UNID,Hierbas y aromáticas
Miel de abeja botella,UNID,Despensa y básicos
Mini chilote bandeja pelado,UNID,Verduras
Mini escalopín bandeja,BANDEJA,Verduras
Mini vainica 400g,BANDEJA,Legumbres y granos
Mini vegetales bandeja,BANDEJA,Verduras
Mini zanahoria bandeja,BANDEJA,Tubérculos y raíces
Mini zucchinis bandeja,BANDEJA,Verduras
Mora,KG,Frutas
Mora brasso (250g),BANDEJA,Frutas
Mostaza china,UNID,Hojas y lechugas
Nabo blanco,KG,Tubérculos y raíces
Naranja importada,KG,Frutas
Naranja nacional,UNID,Frutas
Naranjilla,KG,Frutas
Nectarina,KG,Frutas
Ñampi,KG,Tubérculos y raíces
Orégano rollo,ROLLO,Hierbas y aromáticas
Pak choi,ROLLO,Hojas y lechugas
Palmito en bolsa 450g,UNID,Verduras
Palmito tallo,KG,Verduras
Papa amarilla,KG,Tubérculos y raíces
Papa blanca,KG,Tubérculos y raíces
Papa mini,KG,Tubérculos y raíces
Papa roja,KG,Tubérculos y raíces
Papaya,KG,Tubérculos y raíces
Pejibaye crudo,KG,Verduras
Pepino,KG,Verduras
Pera,UNID,Frutas
Pera fiorella,KG,Frutas
Perejil italiano rollo,ROLLO,Hierbas y aromáticas
Perejil rollo,ROLLO,Hierbas y aromáticas
Piña primera,UNID,Frutas
Piña segunda,UNID,Frutas
Pipas con cáscara,UNID,Frutas
Pipas sin cáscara,UNID,Frutas
Pitahaya congelada,KG,Frutas
Plátano maduro,UNID,Frutas
Plátano verde,UNID,Frutas
Puerro verde,UNID,Verduras
Rabanito,UNID,Tubérculos y raíces
Rabanito mini,KG,Tubérculos y raíces
Rábano,UNID,Tubérculos y raíces
Remolacha,UNID,Tubérculos y raíces
Repollo morado,KG,Hojas y lechugas
Repollo verde,KG,Hojas y lechugas
Romero,KG,Hierbas y aromáticas
Romero rollo,ROLLO,Hierbas y aromáticas
Salvia rollo,ROLLO,Hierbas y aromáticas
Sandía primera,KG,Frutas
Sandía segunda,KG,Frutas
Tamarindo,KG,Frutas
Tapa dulce,UNID,Despensa y básicos
Tiquisque,KG,Tubérculos y raíces
Tomate cherry amarillo,KG,Verduras
Tomate cherry rojo,KG,Verduras
Tomate mexicano,KG,Verduras
Tomate pera,KG,Frutas
Tomate primera,KG,Verduras
Tomate segunda,KG,Verduras
Tomate tercera,KG,Verduras
Tomate salsa,KG,Verduras
Tomillo,KG,Hierbas y aromáticas
Tomillo rollo,ROLLO,Hierbas y aromáticas
Toronja,KG,Frutas
Uchuva cáscara,KG,Frutas
Uchuvas bandeja 200g,BANDEJA,Frutas
Uvas globo,KG,Frutas
Uvas negras,KG,Frutas
Uvas verdes,KG,Frutas
Vainica,KG,Legumbres y granos
Yuca,KG,Tubérculos y raíces
Zacate de limón,KG,Hierbas y aromáticas
Zanahoria,KG,Tubérculos y raíces
Zucchini,UNID,Verduras
